Category,STATE/UT,Population in lakhhs,Rape - Incidents,Rape - Rate,Rape Percentage,Kidnapping & Abduction  -Incidents,Kidnapping & Abduction - Rate,Kidnapping & Abduction Percentage,Dowry Deaths  -Incidents,Dowry Deaths - Rate,Dowry Deaths - Percentage,Cruelty by Husband and Relatives - Incidents,Cruelty by Husband and Relatives - Rate,Cruelty by Husband and Relatives( - Percentage,Molestation - Incidents,Molestation - Rate,Molestation - Percentage,Sexual Harassment - Incidents,Sexual Harassment - Rate,Sexual Harassment - Percentage,Importation of Girls - Incidents,Importation of Girls - Rate,Importation of Girls - Percentage,Sati Prevention Act - Incidents,Sati Prevention Act - Rate,Sati Prevention Act - Percentage,Immoral Traffic Act - Incidents,Immoral Traffic Act - Rate,Immoral Traffic Act - Percentage,Indecent Representation of Women - Incidents,Indecent Representation of Women - Rate,Indecent Representation of Women - Percentage,Dowry Prohibition Act - Incidents,Dowry Prohibition Act _ Rate,Dowry Prohibition Act - Percentage,Total - Incidents,Total - Rate,Total - Percentage,Year
State,Himachal Pradesh,63.81,141,2.2,0.8,102,1.6,0.6,2,0,0,228,3.6,0.4,286,4.5,0.8,29,0.5,0.3,0,0,0,0,0,0,4,0.1,0.1,0,0,0,1,0,0,793,12.4,0.5,2005
State,Jammu & Kashmir,113.71,201,1.8,1.1,658,5.8,4.2,5,0,0.1,76,0.7,0.1,830,7.3,2.4,371,3.3,3.7,0,0,0,0,0,0,3,0,0.1,0,0,0,0,0,0,2144,18.9,1.4,2005
State,Jharkhand,288.85,753,2.6,4.1,283,1,1.8,257,0.9,3.8,590,2,1,293,1,0.9,36,0.1,0.4,4,0,2.7,0,0,0,13,0,0.2,2,0,0.1,313,1.1,9.8,2544,8.8,1.6,2005
State,Karnataka,557.02,343,0.6,1.9,312,0.6,2,261,0.5,3.8,1883,3.4,3.2,1585,2.8,4.6,71,0.1,0.7,0,0,0,0,0,0,1241,2.2,21,0,0,0,361,0.6,11.3,6057,10.9,3.9,2005
State,Kerala,333.38,478,1.4,2.6,129,0.4,0.8,21,0.1,0.3,3283,9.8,5.6,2339,7,6.8,175,0.5,1.8,0,0,0,0,0,0,225,0.7,3.8,108,0.3,3.7,4,0,0.1,6762,20.3,4.3,2005
State,Madhya Pradesh,659.52,2921,4.4,15.9,604,0.9,3.8,739,1.1,10.9,2989,4.5,5.1,6426,9.7,18.8,792,1.2,7.9,3,0,2,0,0,0,19,0,0.3,0,0,0,36,0.1,1.1,14529,22,9.3,2005
State,Maharashtra,1031.59,1545,1.5,8.4,851,0.8,5.4,341,0.3,5,6233,6,10.7,3228,3.1,9.4,919,0.9,9.2,0,0,0,0,0,0,222,0.2,3.8,8,0,0.3,23,0,0.7,13370,13,8.6,2005
State,Manipur,25.39,25,1,0.1,69,2.7,0.4,0,0,0,20,0.8,0,25,1,0.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,140,5.5,0.1,2005
State,Meghalaya,24.52,63,2.6,0.3,19,0.8,0.1,1,0,0,3,0.1,0,44,1.8,0.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,131,5.3,0.1,2005
State,Mizoram,9.47,37,3.9,0.2,0,0,0,4,0.4,0.1,0,0,0,49,5.2,0.1,4,0.4,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,95,10,0.1,2005
State,Nagaland,21.17,17,0.8,0.1,9,0.4,0.1,0,0,0,0,0,0,7,0.3,0,0,0,0,0,0,0,0,0,0,4,0.2,0.1,0,0,0,0,0,0,37,1.7,0,2005
State,Orissa,387.53,799,2.1,4.4,547,1.4,3.5,334,0.9,4.9,1671,4.3,2.9,2238,5.8,6.5,184,0.5,1.8,0,0,0,0,0,0,29,0.1,0.5,1,0,0,446,1.2,13.9,6249,16.1,4,2005
State,Punjab,257.64,398,1.5,2.2,329,1.3,2.1,99,0.4,1.5,729,2.8,1.3,308,1.2,0.9,43,0.2,0.4,0,0,0,0,0,0,58,0.2,1,0,0,0,5,0,0.2,1969,7.6,1.3,2005
State,Rajasthan,616.68,993,1.6,5.4,1549,2.5,9.8,361,0.6,5.3,5997,9.7,10.3,2503,4.1,7.3,28,0,0.3,0,0,0,1,0,100,115,0.2,1.9,109,0.2,3.7,1,0,0,11657,18.9,7.5,2005
State,Sikkim,5.75,18,3.1,0.1,2,0.3,0,0,0,0,4,0.7,0,38,6.6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,10.8,0,2005
State,Tamil Nadu,648.56,571,0.9,3.1,783,1.2,5,215,0.3,3.2,1650,2.5,2.8,1764,2.7,5.2,665,1,6.7,0,0,0,0,0,0,2777,4.3,47,30,0,1,193,0.3,6,8648,13.3,5.6,2005
State,Tripura,33.9,162,4.8,0.9,43,1.3,0.3,34,1,0.5,439,12.9,0.8,161,4.7,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840,24.8,0.5,2005
State,Uttar Pradesh,1814.88,1217,0.7,6.6,2256,1.2,14.3,1564,0.9,23,4505,2.5,7.7,1835,1,5.4,2881,1.6,28.9,0,0,0,0,0,0,31,0,0.5,0,0,0,586,0.3,18.3,14875,8.2,9.6,2005
State,Uttaranchal,91.19,133,1.5,0.7,125,1.4,0.8,63,0.7,0.9,272,3,0.5,100,1.1,0.3,89,1,0.9,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0.1,786,8.6,0.5,2005
State,West Bengal,850.55,1686,2,9.2,1039,1.2,6.6,446,0.5,6.6,6936,8.2,11.9,1572,1.8,4.6,54,0.1,0.5,61,0.1,40.9,0,0,0,74,0.1,1.3,1,0,0,18,0,0.6,11887,14,7.6,2005
Union Territory,A & N Islands,3.88,4,1,0,1,0.3,0,0,0,0,5,1.3,0,11,2.8,0,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5.7,0,2005
Union Territory,Chandigarh,9.98,33,3.3,0.2,45,4.5,0.3,3,0.3,0,75,7.5,0.1,31,3.1,0.1,9,0.9,0.1,0,0,0,0,0,0,9,0.9,0.2,0,0,0,0,0,0,205,20.5,0.1,2005
Union Territory,D & N Haveli,2.44,5,2,0,9,3.7,0.1,0,0,0,5,2,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,9.8,0,2005
Union Territory,Daman & Diu,1.75,2,1.1,0,2,1.1,0,1,0.6,0,3,1.7,0,1,0.6,0,0,0,0,0,0,0,0,0,0,1,0.6,0,0,0,0,0,0,0,10,5.7,0,2005
Union Territory,Delhi,157.43,658,4.2,3.6,1106,7,7,114,0.7,1.7,1324,8.4,2.3,762,4.8,2.2,225,1.4,2.3,1,0,0.7,0,0,0,151,1,2.6,1,0,0,9,0.1,0.3,4351,27.6,2.8,2005
Union Territory,Lakshadweep,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
Union Territory,Pondicherry,10.32,6,0.6,0,3,0.3,0,4,0.4,0.1,6,0.6,0,60,5.8,0.2,26,2.5,0.3,0,0,0,0,0,0,5,0.5,0.1,0,0,0,17,1.6,0.5,127,12.3,0.1,2005
City,Agra,13.21,20,1.5,1.2,66,5,2.7,15,1.1,3,190,14.4,2.2,46,3.5,1.6,146,11.1,6.3,0,0,0,0,0,0,6,0.5,0.3,0,0,0,0,0,0,489,37,2.3,2005
City,Ahmedabad,45.19,35,0.8,2.1,136,3,5.6,1,0,0.2,745,16.5,8.6,54,1.2,1.9,26,0.6,1.1,0,0,0,0,0,0,7,0.2,0.3,0,0,0,0,0,0,1004,22.2,4.8,2005
City,Allahabad,10.5,5,0.5,0.3,15,1.4,0.6,8,0.8,1.6,38,3.6,0.4,4,0.4,0.1,19,1.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,13,1.2,3.7,102,9.7,0.5,2005
City,Amritsar,10.11,4,0.4,0.2,12,1.2,0.5,2,0.2,0.4,34,3.4,0.4,6,0.6,0.2,3,0.3,0.1,0,0,0,0,0,0,5,0.5,0.2,0,0,0,0,0,0,66,6.5,0.3,2005
City,Asansol,10.91,9,0.8,0.5,14,1.3,0.6,4,0.4,0.8,340,31.2,3.9,10,0.9,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377,34.6,1.8,2005
City,Bangalore,56.87,38,0.7,2.2,25,0.4,1,39,0.7,7.9,287,5,3.3,167,2.9,5.9,39,0.7,1.7,0,0,0,0,0,0,654,11.5,31.1,0,0,0,239,4.2,68.9,1488,26.2,7.1,2005
City,Bhopal,14.55,54,3.7,3.2,21,1.4,0.9,7,0.5,1.4,119,8.2,1.4,120,8.2,4.2,41,2.8,1.8,0,0,0,0,0,0,2,0.1,0.1,0,0,0,0,0,0,364,25,1.7,2005
City,Chennai,64.25,43,0.7,2.5,31,0.5,1.3,30,0.5,6.1,236,3.7,2.7,82,1.3,2.9,102,1.6,4.4,0,0,0,0,0,0,284,4.4,13.5,2,0,1.9,5,0.1,1.4,815,12.7,3.9,2005
City,Coimbatore,14.46,6,0.4,0.4,3,0.2,0.1,3,0.2,0.6,31,2.1,0.4,21,1.5,0.7,5,0.3,0.2,0,0,0,0,0,0,260,18,12.3,2,0.1,1.9,0,0,0,331,22.9,1.6,2005
City,Delhi (city),127.91,562,4.4,33.2,900,7,37.4,94,0.7,19.1,1287,10.1,14.8,654,5.1,23.1,197,1.5,8.4,1,0,100,0,0,0,147,1.1,7,1,0,0.9,7,0.1,2,3850,30.1,18.3,2005
City,Dhanbad,10.64,24,2.3,1.4,24,2.3,1,18,1.7,3.7,7,0.7,0.1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1.7,5.2,92,8.6,0.4,2005
City,Faridabad,10.55,18,1.7,1.1,44,4.2,1.8,7,0.7,1.4,119,11.3,1.4,16,1.5,0.6,199,18.9,8.5,0,0,0,0,0,0,5,0.5,0.2,0,0,0,2,0.2,0.6,410,38.9,2,2005
City,Hyderabad,55.34,67,1.2,4,70,1.3,2.9,27,0.5,5.5,1309,23.7,15.1,119,2.2,4.2,348,6.3,14.9,0,0,0,0,0,0,56,1,2.7,61,1.1,57,0,0,0,2057,37.2,9.8,2005
City,Indore,16.39,71,4.3,4.2,30,1.8,1.2,19,1.2,3.9,213,13,2.5,133,8.1,4.7,49,3,2.1,0,0,0,0,0,0,6,0.4,0.3,0,0,0,1,0.1,0.3,522,31.8,2.5,2005
City,Jabalpur,11.17,49,4.4,2.9,15,1.3,0.6,19,1.7,3.9,97,8.7,1.1,133,11.9,4.7,94,8.4,4,0,0,0,0,0,0,3,0.3,0.1,0,0,0,5,0.4,1.4,415,37.2,2,2005
City,Jaipur,23.24,57,2.5,3.4,123,5.3,5.1,16,0.7,3.3,392,16.9,4.5,121,5.2,4.3,1,0,0,0,0,0,0,0,0,33,1.4,1.6,39,1.7,36.4,0,0,0,782,33.6,3.7,2005
City,Jamshedpur,11.02,28,2.5,1.7,32,2.9,1.3,8,0.7,1.6,36,3.3,0.4,21,1.9,0.7,0,0,0,0,0,0,0,0,0,5,0.5,0.2,0,0,0,38,3.4,11,168,15.2,0.8,2005
City,Kanpur,26.9,18,0.7,1.1,90,3.3,3.7,51,1.9,10.4,205,7.6,2.4,43,1.6,1.5,227,8.4,9.7,0,0,0,0,0,0,1,0,0,0,0,0,9,0.3,2.6,644,23.9,3.1,2005
City,Kochi,13.55,7,0.5,0.4,1,0.1,0,2,0.1,0.4,66,4.9,0.8,33,2.4,1.2,12,0.9,0.5,0,0,0,0,0,0,6,0.4,0.3,2,0.1,1.9,0,0,0,129,9.5,0.6,2005
City,Kolkata,132.17,13,0.1,0.8,66,0.5,2.7,6,0,1.2,236,1.8,2.7,148,1.1,5.2,35,0.3,1.5,0,0,0,0,0,0,40,0.3,1.9,0,0,0,0,0,0,544,4.1,2.6,2005
City,Lucknow,22.67,28,1.2,1.7,103,4.5,4.3,22,1,4.5,247,10.9,2.8,36,1.6,1.3,144,6.4,6.2,0,0,0,0,0,0,2,0.1,0.1,0,0,0,0,0,0,582,25.7,2.8,2005
City,Ludhiana,13.95,39,2.8,2.3,36,2.6,1.5,5,0.4,1,84,6,1,25,1.8,0.9,25,1.8,1.1,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,215,15.4,1,2005
City,Madurai,11.95,5,0.4,0.3,23,1.9,1,3,0.3,0.6,43,3.6,0.5,28,2.3,1,29,2.4,1.2,0,0,0,0,0,0,130,10.9,6.2,0,0,0,0,0,0,261,21.8,1.2,2005
City,Meerut,11.67,12,1,0.7,35,3,1.5,11,0.9,2.2,191,16.4,2.2,28,2.4,1,76,6.5,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,30.2,1.7,2005
City,Mumbai,163.68,201,1.2,11.9,122,0.7,5.1,9,0.1,1.8,336,2.1,3.9,385,2.4,13.6,99,0.6,4.2,0,0,0,0,0,0,136,0.8,6.5,0,0,0,0,0,0,1288,7.9,6.1,2005
City,Nagpur,21.23,52,2.4,3.1,48,2.3,2,4,0.2,0.8,185,8.7,2.1,76,3.6,2.7,52,2.4,2.2,0,0,0,0,0,0,15,0.7,0.7,0,0,0,8,0.4,2.3,440,20.7,2.1,2005
City,Nasik,11.52,21,1.8,1.2,13,1.1,0.5,0,0,0,121,10.5,1.4,35,3,1.2,13,1.1,0.6,0,0,0,0,0,0,4,0.3,0.2,0,0,0,0,0,0,207,18,1,2005
City,Patna,17.07,27,1.6,1.6,32,1.9,1.3,32,1.9,6.5,121,7.1,1.4,4,0.2,0.1,2,0.1,0.1,0,0,0,0,0,0,6,0.4,0.3,0,0,0,2,0.1,0.6,226,13.2,1.1,2005
City,Pune,37.56,79,2.1,4.7,72,1.9,3,1,0,0.2,201,5.4,2.3,107,2.8,3.8,95,2.5,4.1,0,0,0,0,0,0,10,0.3,0.5,0,0,0,0,0,0,565,15,2.7,2005
City,Rajkot,10.02,7,0.7,0.4,33,3.3,1.4,0,0,0,153,15.3,1.8,7,0.7,0.2,7,0.7,0.3,0,0,0,0,0,0,4,0.4,0.2,0,0,0,0,0,0,211,21.1,1,2005
City,Surat,28.11,23,0.8,1.4,72,2.6,3,12,0.4,2.4,190,6.8,2.2,50,1.8,1.8,4,0.1,0.2,0,0,0,0,0,0,28,1,1.3,0,0,0,0,0,0,379,13.5,1.8,2005
City,Vadodara,14.92,5,0.3,0.3,26,1.7,1.1,0,0,0,136,9.1,1.6,13,0.9,0.5,2,0.1,0.1,0,0,0,0,0,0,7,0.5,0.3,0,0,0,0,0,0,189,12.7,0.9,2005
City,Varanasi,12.12,6,0.5,0.4,12,1,0.5,7,0.6,1.4,21,1.7,0.2,1,0.1,0,34,2.8,1.5,0,0,0,0,0,0,5,0.4,0.2,0,0,0,0,0,0,86,7.1,0.4,2005
City,Vijayawada,10.11,32,3.2,1.9,49,4.8,2,8,0.8,1.6,296,29.3,3.4,64,6.3,2.3,122,12.1,5.2,0,0,0,0,0,0,42,4.2,2,0,0,0,0,0,0,613,60.6,2.9,2005
City,Vishakhapatnam,13.29,28,2.1,1.7,15,1.1,0.6,2,0.2,0.4,361,27.2,4.2,45,3.4,1.6,86,6.5,3.7,0,0,0,0,0,0,196,14.7,9.3,0,0,0,0,0,0,733,55.2,3.5,2005
